,from,to,value
0,Afghanistan,Albania,e-visa
2,Algeria,Albania,e-visa
3,Andorra,Albania,90
4,Angola,Albania,e-visa
5,Antigua and Barbuda,Albania,90
6,Argentina,Albania,90
7,Armenia,Albania,90
8,Australia,Albania,90
9,Austria,Albania,90
10,Azerbaijan,Albania,90
11,Bahamas,Albania,90
12,Bahrain,Albania,90
13,Bangladesh,Albania,e-visa
14,Barbados,Albania,90
15,Belarus,Albania,30
16,Belgium,Albania,90
17,Belize,Albania,e-visa
18,Benin,Albania,e-visa
19,Bhutan,Albania,e-visa
20,Bolivia,Albania,e-visa
21,Bosnia and Herzegovina,Albania,90
22,Botswana,Albania,e-visa
23,Brazil,Albania,90
24,Brunei,Albania,90
25,Bulgaria,Albania,90
26,Burkina Faso,Albania,e-visa
27,Burundi,Albania,e-visa
28,Cambodia,Albania,e-visa
29,Cameroon,Albania,e-visa
30,Canada,Albania,90
31,Cape Verde,Albania,e-visa
32,Central African Republic,Albania,e-visa
33,Chad,Albania,e-visa
34,Chile,Albania,90
35,China,Albania,90
36,Colombia,Albania,90
37,Comoros,Albania,e-visa
38,Congo,Albania,e-visa
39,DR Congo,Albania,e-visa
40,Costa Rica,Albania,90
41,Ivory Coast,Albania,e-visa
42,Croatia,Albania,90
43,Cuba,Albania,e-visa
44,Cyprus,Albania,90
45,Czech Republic,Albania,90
46,Denmark,Albania,90
47,Djibouti,Albania,e-visa
48,Dominica,Albania,e-visa
49,Dominican Republic,Albania,e-visa
50,Ecuador,Albania,e-visa
51,Egypt,Albania,e-visa
52,El Salvador,Albania,90
53,Equatorial Guinea,Albania,e-visa
54,Eritrea,Albania,e-visa
55,Estonia,Albania,90
56,Swaziland,Albania,e-visa
57,Ethiopia,Albania,e-visa
58,Fiji,Albania,e-visa
59,Finland,Albania,90
60,France,Albania,90
61,Gabon,Albania,e-visa
62,Gambia,Albania,e-visa
63,Georgia,Albania,90
64,Germany,Albania,90
65,Ghana,Albania,e-visa
66,Greece,Albania,90
67,Grenada,Albania,e-visa
68,Guatemala,Albania,90
69,Guinea,Albania,e-visa
70,Guinea-Bissau,Albania,e-visa
71,Guyana,Albania,e-visa
72,Haiti,Albania,e-visa
73,Honduras,Albania,90
74,Hong Kong,Albania,90
75,Hungary,Albania,90
76,Iceland,Albania,90
77,India,Albania,e-visa
78,Indonesia,Albania,90
79,Iran,Albania,e-visa
80,Iraq,Albania,e-visa
81,Ireland,Albania,90
82,Israel,Albania,90
83,Italy,Albania,90
84,Jamaica,Albania,e-visa
85,Japan,Albania,90
86,Jordan,Albania,e-visa
87,Kazakhstan,Albania,90
88,Kenya,Albania,e-visa
89,Kiribati,Albania,e-visa
90,Kosovo,Albania,90
91,Kuwait,Albania,90
92,Kyrgyzstan,Albania,e-visa
93,Laos,Albania,e-visa
94,Latvia,Albania,90
95,Lebanon,Albania,e-visa
96,Lesotho,Albania,e-visa
97,Liberia,Albania,e-visa
98,Libya,Albania,e-visa
99,Liechtenstein,Albania,90
100,Lithuania,Albania,90
101,Luxembourg,Albania,90
102,Macao,Albania,90
103,Madagascar,Albania,e-visa
104,Malawi,Albania,e-visa
105,Malaysia,Albania,90
106,Maldives,Albania,e-visa
107,Mali,Albania,e-visa
108,Malta,Albania,90
109,Marshall Islands,Albania,e-visa
110,Mauritania,Albania,e-visa
111,Mauritius,Albania,90
112,Mexico,Albania,90
113,Micronesia,Albania,e-visa
114,Moldova,Albania,90
115,Monaco,Albania,90
116,Mongolia,Albania,e-visa
117,Montenegro,Albania,90
118,Morocco,Albania,e-visa
119,Mozambique,Albania,e-visa
120,Myanmar,Albania,e-visa
121,Namibia,Albania,e-visa
122,Nauru,Albania,e-visa
123,Nepal,Albania,e-visa
124,Netherlands,Albania,90
125,New Zealand,Albania,90
126,Nicaragua,Albania,90
127,Niger,Albania,e-visa
128,Nigeria,Albania,e-visa
129,North Korea,Albania,e-visa
130,North Macedonia,Albania,90
131,Norway,Albania,90
132,Oman,Albania,90
133,Pakistan,Albania,e-visa
134,Palau,Albania,e-visa
135,Palestine,Albania,e-visa
136,Panama,Albania,90
137,Papua New Guinea,Albania,e-visa
138,Paraguay,Albania,90
139,Peru,Albania,90
140,Philippines,Albania,e-visa
141,Poland,Albania,90
142,Portugal,Albania,90
143,Qatar,Albania,90
144,Romania,Albania,90
145,Russia,Albania,e-visa
146,Rwanda,Albania,e-visa
147,Saint Kitts and Nevis,Albania,90
148,Saint Lucia,Albania,e-visa
149,Samoa,Albania,e-visa
150,San Marino,Albania,90
151,Sao Tome and Principe,Albania,e-visa
152,Saudi Arabia,Albania,90
153,Senegal,Albania,e-visa
154,Serbia,Albania,90
155,Seychelles,Albania,90
156,Sierra Leone,Albania,e-visa
157,Singapore,Albania,90
158,Slovakia,Albania,90
159,Slovenia,Albania,90
160,Solomon Islands,Albania,e-visa
161,Somalia,Albania,e-visa
162,South Africa,Albania,e-visa
163,South Korea,Albania,90
164,South Sudan,Albania,e-visa
165,Spain,Albania,90
166,Sri Lanka,Albania,e-visa
167,Saint Vincent and the Grenadines,Albania,e-visa
168,Sudan,Albania,e-visa
169,Suriname,Albania,e-visa
170,Sweden,Albania,90
171,Switzerland,Albania,90
172,Syria,Albania,visa required
173,Taiwan,Albania,90
174,Tajikistan,Albania,e-visa
175,Tanzania,Albania,e-visa
176,Thailand,Albania,90
177,Timor-Leste,Albania,e-visa
178,Togo,Albania,e-visa
179,Tonga,Albania,e-visa
180,Trinidad and Tobago,Albania,90
181,Tunisia,Albania,e-visa
182,Turkey,Albania,visa free
183,Turkmenistan,Albania,e-visa
184,Tuvalu,Albania,e-visa
185,Uganda,Albania,e-visa
186,Ukraine,Albania,90
187,United Arab Emirates,Albania,90
188,United Kingdom,Albania,90
189,United States,Albania,360
190,Uruguay,Albania,90
191,Uzbekistan,Albania,e-visa
192,Vanuatu,Albania,e-visa
193,Vatican,Albania,90
194,Venezuela,Albania,90
195,Vietnam,Albania,e-visa
196,Yemen,Albania,e-visa
197,Zambia,Albania,e-visa
198,Zimbabwe,Albania,e-visa
199,Afghanistan,Algeria,visa required
200,Albania,Algeria,visa required
202,Andorra,Algeria,visa required
203,Angola,Algeria,visa required
204,Antigua and Barbuda,Algeria,visa required
205,Argentina,Algeria,visa required
